Characteristic,Neighbourhood Number,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Single-detached house,  Apartment in a building that has five or more storeys,    Semi-detached house,    Row house,    Apartment or flat in a duplex,    Apartment in a building that has fewer than five storeys,    Other single-attached house,  Movable dwelling,  1 person,  2 persons,  3 persons,  4 persons,  5 or more persons, Average household size,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",  No bedrooms,  1 bedroom,  2 bedrooms,  3 bedrooms,  4 or more bedrooms
Agincourt North,129,"3,840","3,705","11,305","4,230","6,045",925,3345,2120,805,1440,645,735,15,5,1350,2370,1995,1750,1645,3.16,"5,225","6,475","3,945","2,780","2,005","1,220",745,525,720,20,965,"1,790","2,860","3,490"
Agincourt South-Malvern West,128,"3,075","3,360","9,965","3,265","4,105",555,2790,3145,330,515,695,610,65,0,1610,2325,1680,1335,1175,2.88,"4,590","4,640","3,075","2,270","1,665","1,150",695,500,710,15,915,"2,235","2,560","2,405"
Alderwood,20,"1,760","1,235","5,220","1,825","2,015",320,2840,255,545,85,330,560,0,0,1105,1440,885,795,390,2.6,"1,395","1,565","1,590","1,325","1,170",930,625,510,830,20,325,"1,145","2,055","1,090"
Annex,95,"2,360","3,750","15,040","3,480","5,910","1,040",645,8165,1185,595,455,4795,90,0,7885,5220,1540,885,390,1.8,"3,995","3,790","2,955","2,590","2,370","1,930","1,630","1,215","5,200",855,"6,995","4,555","2,000","1,540"
Banbury-Don Mills,42,"3,605","2,730","10,810","3,555","6,975","1,640",3485,6270,285,740,40,1315,0,0,4360,3820,1755,1515,675,2.23,"3,320","3,265","2,725","2,450","2,360","1,905","1,550","1,135","3,675",50,"3,010","4,245","2,545","2,280"
Bathurst Manor,34,"2,325","1,940","6,655","2,030","2,940",710,2105,2055,165,45,640,1070,15,0,1660,1790,1095,970,575,2.56,"2,160","2,570","2,030","1,545","1,200",895,675,470,"1,140",150,"1,200","1,475","1,860","1,395"
Bay Street Corridor,76,"1,695","6,860","13,065","1,760","2,420",330,5,14800,0,15,0,240,10,0,7605,5330,1410,575,145,1.7,"7,090","2,995","2,180","1,965","1,730","1,565","1,545","1,125","2,715",560,"8,070","5,750",655,25
Bayview Village,52,"2,415","2,505","10,310","2,540","3,615",610,2025,5900,120,880,75,520,5,0,3195,3260,1610,1000,470,2.22,"3,890","2,805","2,155","1,805","1,700","1,400","1,110",860,"2,035",105,"3,685","2,555","1,700","1,475"
Bayview Woods-Steeles,49,"1,515","1,635","4,490","1,825","3,685",740,1565,1775,495,200,100,570,0,0,975,1505,935,820,480,2.7,"2,215","1,985","1,425","1,085",915,730,580,455,"1,180",10,515,"1,050","1,215","1,920"
Bedford Park-Nortown,39,"4,555","3,210","8,410","3,075","3,980",660,4820,1995,45,65,315,1260,115,0,2390,2415,1190,1515,1110,2.68,"2,480","2,140","2,050","1,635","1,350","1,125",935,810,"5,155",100,"1,570","1,985","1,395","3,565"
